Date,Open,High,Low,Close,Volume 
2020.02.17 22:00:00,1.08343,1.08373,1.07854,1.07907,132797.012
2020.02.18 22:00:00,1.07906,1.08115,1.07822,1.08022,106436.2154
2020.02.19 22:00:00,1.08022,1.08211,1.07778,1.07838,142802.4415
2020.02.20 22:00:00,1.07843,1.08635,1.07843,1.08456,200502.85
2020.02.23 22:00:00,1.08145,1.0872,1.0805,1.08519,176178.729
2020.02.24 22:00:00,1.08519,1.08902,1.083,1.08806,186037.3403
2020.02.25 22:00:00,1.08806,1.09086,1.08549,1.08813,188356.4808
2020.02.26 22:00:00,1.08812,1.10064,1.08769,1.09998,214850.81
2020.02.27 22:00:00,1.09998,1.1053,1.09509,1.10251,252671.585
2020.03.01 22:00:00,1.10423,1.11845,1.10362,1.11331,249291.9488
2020.03.02 22:00:00,1.11327,1.12134,1.10953,1.11716,216215.855
2020.03.03 22:00:00,1.11715,1.11875,1.10955,1.11328,164485.685
2020.03.04 22:00:00,1.11328,1.12447,1.11195,1.12361,193127.79
2020.03.05 22:00:00,1.12361,1.13546,1.12112,1.12804,241330.9807
2020.03.08 21:00:00,1.13473,1.14954,1.1335,1.1439,298459.7685
2020.03.09 21:00:00,1.14285,1.14578,1.12749,1.12794,266412.1347
2020.03.10 21:00:00,1.12802,1.13667,1.12573,1.12682,198776.6637
2020.03.11 21:00:00,1.12682,1.13336,1.1055,1.11848,260011.1276
2020.03.12 21:00:00,1.11848,1.12213,1.1055,1.10992,239402.1089
2020.03.15 21:00:00,1.10705,1.12366,1.10705,1.1182,297556.9467
2020.03.16 21:00:00,1.1182,1.11891,1.0955,1.09971,277624.9348
2020.03.17 21:00:00,1.09971,1.10451,1.08016,1.0912,320029.4885
2020.03.18 21:00:00,1.0912,1.09818,1.0655,1.06911,303104.1894
2020.03.19 21:00:00,1.06913,1.08309,1.06375,1.06929,481684.7622
2020.03.22 21:00:00,1.07011,1.08279,1.06357,1.07239,468719.9048
2020.03.23 21:00:00,1.07233,1.08879,1.07204,1.07861,344016.555
2020.03.24 21:00:00,1.07861,1.08938,1.07599,1.08812,297512.1784
2020.03.25 21:00:00,1.08812,1.10587,1.08698,1.10302,282164.04
2020.03.26 21:00:00,1.10298,1.11473,1.09533,1.11379,258445.034
2020.03.29 22:00:00,1.11172,1.1144,1.101,1.10427,194602.4077
2020.03.30 22:00:00,1.10427,1.10545,1.09265,1.10299,315910.1103
2020.03.31 22:00:00,1.10286,1.1039,1.09026,1.09616,271412.5953
2020.04.01 22:00:00,1.09619,1.09684,1.08206,1.08561,296971.6477
2020.04.02 22:00:00,1.08557,1.08645,1.07727,1.07955,271889.174
2020.04.05 22:00:00,1.08082,1.08354,1.07683,1.0792,283322.888
2020.04.06 22:00:00,1.0792,1.09263,1.07835,1.08904,284007.77
2020.04.07 22:00:00,1.08903,1.09019,1.08299,1.08564,236735.987
2020.04.08 22:00:00,1.08559,1.09516,1.08409,1.09285,262590.775
2020.04.09 22:00:00,1.09286,1.09524,1.09192,1.09326,150858.0503
2020.04.12 22:00:00,1.09482,1.09678,1.08926,1.0912,164411.332
2020.04.13 22:00:00,1.09109,1.09871,1.09029,1.09798,227195.6333
2020.04.14 22:00:00,1.09794,1.09907,1.08564,1.09066,242782.58
2020.04.15 22:00:00,1.09076,1.09111,1.08166,1.08386,272079.0937
2020.04.16 22:00:00,1.08386,1.08926,1.08119,1.08711,265342.13
2020.04.19 22:00:00,1.08748,1.08967,1.08411,1.08607,205688.8427
2020.04.20 22:00:00,1.08611,1.08802,1.08165,1.08564,269583.29
2020.04.21 22:00:00,1.08563,1.08852,1.08032,1.08229,216659.8857
2020.04.22 22:00:00,1.08226,1.08466,1.0756,1.0776,279221.895
2020.04.23 22:00:00,1.0776,1.08294,1.07271,1.08196,236007.13
2020.04.26 22:00:00,1.08211,1.08602,1.08112,1.08286,204454.825
2020.04.27 22:00:00,1.08282,1.08884,1.08097,1.08186,214232.415
2020.04.28 22:00:00,1.08186,1.08856,1.08183,1.08724,216037.605
2020.04.29 22:00:00,1.08741,1.09726,1.0833,1.09539,287628.55
2020.04.30 22:00:00,1.09539,1.10187,1.09344,1.09777,195288.9337
2020.05.03 22:00:00,1.09676,1.09736,1.08956,1.09058,218738.9774
2020.05.04 22:00:00,1.09063,1.09258,1.08258,1.08377,231702.35
2020.05.05 22:00:00,1.08377,1.08456,1.07819,1.0793,243295.8824
2020.05.06 22:00:00,1.07934,1.08339,1.07665,1.08331,232904.04
2020.05.07 22:00:00,1.0834,1.08756,1.08151,1.08371,172159.191
2020.05.10 22:00:00,1.08265,1.08504,1.08005,1.08061,213421.74
2020.05.11 22:00:00,1.08059,1.08851,1.07843,1.08472,208817.575
2020.05.12 22:00:00,1.08475,1.08965,1.08116,1.08176,229573.075
2020.05.13 22:00:00,1.08176,1.08239,1.07748,1.0804,213507.6881
2020.05.14 22:00:00,1.08042,1.08509,1.07888,1.08183,205052.602
2020.05.17 22:00:00,1.08088,1.0927,1.07999,1.09154,201086.1509
2020.05.18 22:00:00,1.09155,1.09759,1.09021,1.09221,249931.144
